host,service
"ch-app-smtp01-s.servicemanagement.com:9182","Workstation Service"
"ch-app-smtp01-s.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app-smtp01-s.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app-smtp01-s.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-smtp01-t.servicemanagement.com:9182","Server Service"
"ch-app-smtp01-t.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app-smtp01-t.servicemanagement.com:9182","Workstation Service"
"ch-app-smtp01-t.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app-smtp01-t.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app-smtp01-t.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-smtp02-p.servicemanagement.com:9182","Server Service"
"ch-app-smtp02-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app-smtp02-p.servicemanagement.com:9182","Workstation Service"
"ch-app-smtp02-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app-smtp02-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app-smtp02-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-smtp02-p.servicemanagement.com:9182","Mail Marshal Engine Service"
"ch-app-smtp02-p.servicemanagement.com:9182","Mail Marshal Sender Service"
"ch-app-smtp02-p.servicemanagement.com:9182","Mail Marshal Controller Service"
"ch-app-smtp02-p.servicemanagement.com:9182","Mail Marshal Receiver Service"
"ch-app-smtp02-p.servicemanagement.com:9182","Mail Marshal Updater Service"
"ch-app-smtp03-p.servicemanagement.com:9182","Server Service"
"ch-app-smtp03-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app-smtp03-p.servicemanagement.com:9182","Workstation Service"
"ch-app-smtp03-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app-smtp03-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app-smtp03-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-smtp03-p.servicemanagement.com:9182","Mail Marshal Engine Service"
"ch-app-smtp03-p.servicemanagement.com:9182","Mail Marshal Sender Service"
"ch-app-smtp03-p.servicemanagement.com:9182","Mail Marshal Controller Service"
"ch-app-smtp03-p.servicemanagement.com:9182","Mail Marshal Receiver Service"
"ch-app-smtp03-p.servicemanagement.com:9182","Mail Marshal Updater Service"
"SRV_PROD_DBA:9182","Server Service"
"SRV_PROD_DBA:9182","Workstation Service"
