service_name,name
"Precise for SQL Server Collector SRV_PROD_REPORT$SMGREPORT","PssMSSqlSRV_PROD_REPORT$SMGREPORT80"
"Precise for SQL Server Collector SRV_PROD_TRANS$SMGTRANS","PssMSSqlSRV_PROD_TRANS$SMGTRANS80"
"Precise for SQL Server FocalPoint","pssq_focal_8.7"
"Print Spooler","Spooler"
"Printer Extensions and Notifications","PrintNotify"
"Problem Reports and Solutions Control Panel Support","wercplsupport"
"Program Compatibility Assistant Service","PcaSvc"
"Quality Windows Audio Video Experience","QWAVE"
"Quest KACE Agent WatchDog","AMPWatchDog"
"Quest KACE Offline Scheduler","OfflineScheduler"
"Quest KACE One Agent","konea"
"RDS FASTCopy Server (fcopyd)","fcservice.exe"
"RDS Scheduler","repliweb_scheduler_service.exe"
"RDS Server","repliweb_server.exe"
"RPC Endpoint Mapper","RpcEptMapper"
"RPC/HTTP Load Balancing Service","RPCHTTPLBS"
"RabbitMQ","RabbitMQ"
"Radio Management Service","RmSvc"
"RdAgent","RdAgent"
"Remote Access Auto Connection Manager","RasAuto"
"Remote Access Connection Manager","RasMan"
"Remote Desktop Configuration","SessionEnv"
"Remote Desktop Services UserMode Port Redirector","UmRdpService"
"Remote Desktop Services","TermService"
"Remote Packet Capture Protocol v.0 (experimental)","rpcapd"
"Remote Procedure Call (RPC) Locator","RpcLocator"
"Remote Procedure Call (RPC)","RpcSs"
"Remote Registry","RemoteRegistry"
"ReportRunnerService","ReportRunnerService"
"Reprocessing.Themes.DetailsWriter","Reprocessing.Themes.DetailsWriter"
"Resultant Set of Policy Provider","RSoPProv"
"Routing and Remote Access","RemoteAccess"
"SMB Witness","SmbWitness"
"SMG Service Structures Recurring File Import","SMG.Service.Structure.RecurringFileImport"
"SMG.360.Textkey.Writer","SMG.360.Textkey.Writer"
"SMG.ARP.Service","SMG.ARP.Service"
"SMG.AggregatedInsights.Processor","SMG.AggregatedInsights.Processor"
"SMG.Alert.ReplicationConsumer","SMG.Alert.ReplicationConsumer"
"SMG.Audio.Processing.Service","SMG.Audio.Processing.Service"
"SMG.Capture.BrowserInfo.Service","BrowserInfo.Service"
"SMG.CaseManagement.EmailProvider.Service","SMG.CaseManagement.EmailProvider.Service"
"SMG.CaseManagement.Service","SMG.CaseManagement.Service"
"SMG.CaseManagement.Timeline.App","SMG.CaseManagement.Timeline.App"
"SMG.Catalog.Persistence","SMG.Catalog.Persistence"
"SMG.ConnectorProcessor","SMG.ConnectorProcessor"
"SMG.Data.Load.Windows.Service","SMG.Data.Load.Windows.Service"
